rowid,object,attribute,value,attributetype
819,26e18593-ee95-4953-8d92-cb803505dec1,description,"**\*\*RSVP ON EVENTBRITE FOR ENTRY\*\***
https://www.eventbrite.com/e/game-developers-and-publishers-boba-happy-hour-gdc-tickets-807243736747

Looking for ",string
820,26e18593-ee95-4953-8d92-cb803505dec1,locationName,Yerba Buena Gardens,string
821,26e18593-ee95-4953-8d92-cb803505dec1,locationAddress,"750 Howard St, San Francisco, CA",address
822,26e18593-ee95-4953-8d92-cb803505dec1,organizerName,Conduit - Automatic Social Posts for Indies,string
823,1738e045-fbe1-4f2c-8719-431ff1691c08,startDate,2024-03-24T12:00:00-07:00,date
824,1738e045-fbe1-4f2c-8719-431ff1691c08,endDate,2024-03-24T15:00:00-07:00,date
825,1738e045-fbe1-4f2c-8719-431ff1691c08,name,Female Brunch Club Meetup @ Yerba Buena,string
826,1738e045-fbe1-4f2c-8719-431ff1691c08,url,https://www.meetup.com/san-francisco-female-brunch-club/events/299488736/,url
827,1738e045-fbe1-4f2c-8719-431ff1691c08,image,https://secure-content.meetupstatic.com/images/classic-events/519435074/676x676.jpg,url-img
828,1738e045-fbe1-4f2c-8719-431ff1691c08,description,"Join the San Francisco Female Brunch Club for a delightful brunch where you can meet like-minded women, make new friends, and enjoy some delicious food. Ye",string
829,1738e045-fbe1-4f2c-8719-431ff1691c08,locationName,The Grove - Yerba Buena,string
830,1738e045-fbe1-4f2c-8719-431ff1691c08,locationAddress,"690 Mission St, San Francisco, CA",address
831,1738e045-fbe1-4f2c-8719-431ff1691c08,organizerName,San Francisco Female Brunch Club,string
832,1c34d30b-baa6-4518-bad9-2a280c96d89c,startDate,2024-03-27T18:00:00-07:00,date
833,1c34d30b-baa6-4518-bad9-2a280c96d89c,endDate,2024-03-27T20:00:00-07:00,date
834,1c34d30b-baa6-4518-bad9-2a280c96d89c,name,Talk Series: Event Streaming with Mantis & Scaling Computations with Ray,string
835,1c34d30b-baa6-4518-bad9-2a280c96d89c,url,https://www.meetup.com/data-engineer-things-bay-area-meetup/events/299603013/,url
836,1c34d30b-baa6-4518-bad9-2a280c96d89c,image,https://secure-content.meetupstatic.com/images/classic-events/519750261/676x676.jpg,url-img
837,1c34d30b-baa6-4518-bad9-2a280c96d89c,description,"Whether you're a seasoned data engineer or just starting out, this event will provide valuable insights and practical tips on the work we do. Come network ",string
838,1c34d30b-baa6-4518-bad9-2a280c96d89c,locationName,Writing Lab,string
839,1c34d30b-baa6-4518-bad9-2a280c96d89c,locationAddress,"180 Golden Gate Ave,, San Francisco , CA",address
840,1c34d30b-baa6-4518-bad9-2a280c96d89c,organizerName,Data Engineer Things Bay Area Meetup,string
841,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,startDate,2024-03-19T19:00:00-07:00,date
842,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,endDate,2024-03-19T23:59:00-07:00,date
843,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,name,"GDC 2024 After Party Meetup with HashiCorp, Sentry, Unity, Discord & More",string
844,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,url,https://www.meetup.com/monthly-sf-game-development-community/events/298874115/,url
845,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,image,https://secure-content.meetupstatic.com/images/classic-events/519278588/676x676.jpg,url-img
846,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,description,"Welcome back to SF Game Development's third annual GDC 2024 After Party Meetup at DNA Lounge on Tuesday, March 19th from 7:00pm-12:00am. This is the larges",string
847,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,locationName,DNA Lounge,string
848,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,locationAddress,"375 11th St, San Francisco, CA",address
849,3e1609d0-054c-49d2-b7bc-b40fe5ab0259,organizerName,SF Game Development,string
850,588e0040-5298-4dbe-8e1c-b1eae446e9c4,startDate,2024-03-28T18:00:00-07:00,date
851,588e0040-5298-4dbe-8e1c-b1eae446e9c4,endDate,2024-03-28T20:00:00-07:00,date
852,588e0040-5298-4dbe-8e1c-b1eae446e9c4,name,Data and AI Engineering Panel: Airbyte x LangChain x Pinecone,string
853,588e0040-5298-4dbe-8e1c-b1eae446e9c4,url,https://www.meetup.com/data-bytes/events/299752878/,url
854,588e0040-5298-4dbe-8e1c-b1eae446e9c4,image,https://secure-content.meetupstatic.com/images/classic-events/519718245/676x676.jpg,url-img
855,588e0040-5298-4dbe-8e1c-b1eae446e9c4,description,"Join us for some light bites, drinks, and discussion about data engineering for AI. Our meetup will include a panel discussion with experts from the engine",string
856,588e0040-5298-4dbe-8e1c-b1eae446e9c4,locationName,100 California St,string
857,588e0040-5298-4dbe-8e1c-b1eae446e9c4,locationAddress,"100 California St, San Francisco, CA",address
858,588e0040-5298-4dbe-8e1c-b1eae446e9c4,organizerName,Data Bytes,string
859,4f25ae00-99c0-45b2-85bc-1195563831c1,startDate,2024-03-26T19:30:00-07:00,date
860,4f25ae00-99c0-45b2-85bc-1195563831c1,endDate,2024-03-26T22:30:00-07:00,date
861,4f25ae00-99c0-45b2-85bc-1195563831c1,name,Make International friends & Language Exchange !,string
862,4f25ae00-99c0-45b2-85bc-1195563831c1,url,https://www.meetup.com/international-friends-san-francisco/events/299309308/,url
863,4f25ae00-99c0-45b2-85bc-1195563831c1,image,https://secure-content.meetupstatic.com/images/classic-events/519254228/676x676.jpg,url-img
864,4f25ae00-99c0-45b2-85bc-1195563831c1,description,"Make international friends & speak languages (local language included).
The languages spoken may vary based on the participants.
👉🍺🥤 You are asked to or",string
865,4f25ae00-99c0-45b2-85bc-1195563831c1,locationName,Iron Horse Cocktails,string
866,4f25ae00-99c0-45b2-85bc-1195563831c1,locationAddress,"25 Maiden Ln, San Francisco, CA",address
867,4f25ae00-99c0-45b2-85bc-1195563831c1,organizerName,International friends San Francisco,string
868,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,startDate,2024-03-27T18:00:00-07:00,date
869,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,endDate,2024-03-27T21:00:00-07:00,date
870,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,name,Workaholics who Treat Themselves Meetup @ Movida,string
871,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,url,https://www.meetup.com/workaholics-who-treat-themselves/events/299477384/,url
872,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,image,https://secure-content.meetupstatic.com/images/classic-events/519425872/676x676.jpg,url-img
873,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,description,I am excited to share that we will be hosting our first meetup at Movida. Movida is a new restaurant in SF that serves persian and mexican fusion restauran,string
874,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,locationName,555 2nd St,string
875,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,locationAddress,"555 2nd St, San Francisco, CA",address
876,c424fe5e-8e94-4ea5-a9b5-a6547e83aa9f,organizerName,Workaholics who treat themselves,string
877,98507995-1d59-4086-a752-a01c5f6f2f35,startDate,2024-03-15T19:00:00-07:00,date
878,98507995-1d59-4086-a752-a01c5f6f2f35,endDate,2024-03-15T21:00:00-07:00,date
879,98507995-1d59-4086-a752-a01c5f6f2f35,name, 1st Surrealism art group meeting,string
880,98507995-1d59-4086-a752-a01c5f6f2f35,url,https://www.meetup.com/surrealist-art-painting-group/events/299224488/,url
881,98507995-1d59-4086-a752-a01c5f6f2f35,image,https://secure-content.meetupstatic.com/images/classic-events/519151371/676x676.jpg,url-img
882,98507995-1d59-4086-a752-a01c5f6f2f35,description,This will be the initial meet up to discuss Future meet-ups and painting plans,string
883,98507995-1d59-4086-a752-a01c5f6f2f35,locationName,Flying Pig Bistro Pub,string
884,98507995-1d59-4086-a752-a01c5f6f2f35,locationAddress,"433 South Van Ness Avenue, San Francisco, CA",address
885,98507995-1d59-4086-a752-a01c5f6f2f35,organizerName,Surrealist Art/ painting group,string
886,cfecc94b-f54b-4083-a198-a013b6e7bced,startDate,2024-03-15T15:00:00-07:00,date
887,cfecc94b-f54b-4083-a198-a013b6e7bced,endDate,2024-03-15T17:00:00-07:00,date
888,cfecc94b-f54b-4083-a198-a013b6e7bced,name,SF Techies Network + Happy Hour (St. Patrick's day drinks),string
889,cfecc94b-f54b-4083-a198-a013b6e7bced,url,https://www.meetup.com/techies-corner-sf/events/299383203/,url
890,cfecc94b-f54b-4083-a198-a013b6e7bced,image,https://secure-content.meetupstatic.com/images/classic-events/519310048/676x676.jpg,url-img
891,cfecc94b-f54b-4083-a198-a013b6e7bced,description,"Calling all techies!
If you are a founder, entrepreneur, engineer, designer, or simply a passionate tech enthusiast, this is the perfect opportunity to con",string
892,cfecc94b-f54b-4083-a198-a013b6e7bced,locationName,981 Mission St,string
893,cfecc94b-f54b-4083-a198-a013b6e7bced,locationAddress,"981 Mission St, San Francisco, CA",address
894,cfecc94b-f54b-4083-a198-a013b6e7bced,organizerName,Techies Corner SF,string
895,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,startDate,2024-03-27T18:00:00-07:00,date
896,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,endDate,2024-03-27T20:00:00-07:00,date
897,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,name,Startups and Business Networking Event San Francisco,string
898,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,url,https://www.meetup.com/startups-and-tech-events-in-san-francisko/events/299476268/,url
899,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,image,https://secure-content.meetupstatic.com/images/classic-events/519399439/676x676.jpg,url-img
900,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,description,"**Attention attendees!**
**To register, use this link** --> [Startup, Tech & Business Networking San Francisco](https://www.eventbrite.com/e/startup-tech-b",string
901,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,locationName,The Marker San Francisco,string
902,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,locationAddress,"501 Geary St, San Francisco, CA",address
903,0f21d24b-e5bf-40a3-be88-27afd68b2a6b,organizerName,Startups and Tech Events in San Francisko,string
904,37521458-876e-4ddb-a338-e0018877f146,startDate,2024-03-17T15:00:00-07:00,date
905,37521458-876e-4ddb-a338-e0018877f146,endDate,2024-03-17T19:00:00-07:00,date
906,37521458-876e-4ddb-a338-e0018877f146,name,Pre-GDC Indie Game Developer Park Meetup 2024,string
907,37521458-876e-4ddb-a338-e0018877f146,url,https://www.meetup.com/seattleindies/events/298319764/,url
908,37521458-876e-4ddb-a338-e0018877f146,image,https://secure-content.meetupstatic.com/images/classic-events/518292378/676x676.jpg,url-img
909,37521458-876e-4ddb-a338-e0018877f146,description,"Calling all independent game developers at GDC 2024!

Let’s catch up with old friends and make new ones at Dolores Park the afternoon before GDC.

Location",string
910,37521458-876e-4ddb-a338-e0018877f146,locationName,Dolores Park,string
911,37521458-876e-4ddb-a338-e0018877f146,locationAddress,"19th St, San Francisco, CA",address
912,37521458-876e-4ddb-a338-e0018877f146,organizerName,Seattle Indies,string
913,93ae0cbc-d842-4173-9c54-07f68fbc0c31,startDate,2024-03-17T09:30:00-07:00,date
914,93ae0cbc-d842-4173-9c54-07f68fbc0c31,endDate,2024-03-17T11:30:00-07:00,date
915,93ae0cbc-d842-4173-9c54-07f68fbc0c31,name,Hike in Lands End,string
916,93ae0cbc-d842-4173-9c54-07f68fbc0c31,url,https://www.meetup.com/sf-peninsula-hiking-and-activities-group/events/299578403/,url
917,93ae0cbc-d842-4173-9c54-07f68fbc0c31,image,/,url-img
918,93ae0cbc-d842-4173-9c54-07f68fbc0c31,description,We will hike in Land's End. Afterwards we can go to lunch if there is enough interest.,string
919,93ae0cbc-d842-4173-9c54-07f68fbc0c31,locationName,Lands End Lookout,string
920,93ae0cbc-d842-4173-9c54-07f68fbc0c31,locationAddress,"680 Point Lobos Ave, San Francisco, CA",address
921,93ae0cbc-d842-4173-9c54-07f68fbc0c31,organizerName,20s-40s  SF/Peninsula Hiking and Activities Group,string
922,d7823d54-e41c-44c8-afbf-71486a580614,startDate,2024-03-21T17:30:00-07:00,date
923,d7823d54-e41c-44c8-afbf-71486a580614,endDate,2024-03-21T19:30:00-07:00,date
924,d7823d54-e41c-44c8-afbf-71486a580614,name,Temporal Users SF: March 2024,string
925,d7823d54-e41c-44c8-afbf-71486a580614,url,https://www.meetup.com/sf-temporal-user-group/events/299361587/,url
926,d7823d54-e41c-44c8-afbf-71486a580614,image,h,url-img
927,d7823d54-e41c-44c8-afbf-71486a580614,description,"Temporal is excited to welcome the community to our next SF user group meetup! Join for an evening of technical talks, food, and drinks, meet Temporal user",string
928,d7823d54-e41c-44c8-afbf-71486a580614,locationName,110 S Park St,string
929,d7823d54-e41c-44c8-afbf-71486a580614,locationAddress,"110 S Park St, San Francisco, CA",address
930,d7823d54-e41c-44c8-afbf-71486a580614,organizerName,SF Temporal User Group,string
931,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,startDate,2024-03-21T17:30:00-07:00,date
932,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,endDate,2024-03-21T19:00:00-07:00,date
933,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,name,Young PM's AI Discussion,string
934,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,url,https://www.meetup.com/san-francisco-product-launch-manager-meetup-group/events/299685640/,url
935,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,image,https://secure-content.meetupstatic.com/images/classic-events/519616177/676x676.jpg,url-img
936,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,description,"If you choose to come, please read the Pop-Up rules below before RSVP'ing so that you are most prepared for the discussion.

***

Enjoy a drink at Joe the ",string
937,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,locationName,JOE & THE JUICE,string
938,cebcd07d-e34b-46c5-a155-6f8bf3f2066a,locationAddress,"301 Howard St, San Francisco, CA",address
939,e0836cee-421b-41a5-8664-75859383a28e,startDate,2024-03-28T17:00:00-07:00,date
940,e0836cee-421b-41a5-8664-75859383a28e,endDate,2024-03-28T20:00:00-07:00,date
941,e0836cee-421b-41a5-8664-75859383a28e,name,Bay Area Ruby Meetup Group @ GitHub HQ,string
942,e0836cee-421b-41a5-8664-75859383a28e,url,https://www.meetup.com/san-francisco-ruby-meetup-group/events/299635202/,url
943,e0836cee-421b-41a5-8664-75859383a28e,image,https://secure-content.meetupstatic.com/images/classic-events/519578114/676x676.jpg,url-img
944,e0836cee-421b-41a5-8664-75859383a28e,description,"(NOTE: [Please register at this Luma Link](https://lu.ma/r6d0lghm) (Github's preference) in addition to RSVPing here.)

Hey, Bay Area builders and tinkerer",string
945,e0836cee-421b-41a5-8664-75859383a28e,locationName,GitHub,string
946,e0836cee-421b-41a5-8664-75859383a28e,locationAddress,"88 Colin P Kelly Jr St, San Francisco, CA",address
947,e0836cee-421b-41a5-8664-75859383a28e,organizerName,SF Bay Area Ruby Meetup Group,string
948,1853dd07-988e-4272-bb6a-14014ddf1cd0,startDate,2024-03-28T18:00:00-07:00,date
949,1853dd07-988e-4272-bb6a-14014ddf1cd0,endDate,2024-03-28T22:00:00-07:00,date
950,1853dd07-988e-4272-bb6a-14014ddf1cd0,name,San Francisco AI Block Party,string
951,1853dd07-988e-4272-bb6a-14014ddf1cd0,url,https://www.meetup.com/sanfrancisco-ai/events/299429399/,url
952,1853dd07-988e-4272-bb6a-14014ddf1cd0,image,https://secure-content.meetupstatic.com/images/classic-events/519380766/676x676.jpg,url-img
953,1853dd07-988e-4272-bb6a-14014ddf1cd0,description,"Welcome to the San Francisco AI Block Party! Get ready for a night of fun, music, and good vibes in the heart of San Francisco.

Bring your friends and net",string
954,1853dd07-988e-4272-bb6a-14014ddf1cd0,locationName,1481 Folsom St,string
955,1853dd07-988e-4272-bb6a-14014ddf1cd0,locationAddress,"1481 Folsom St, San Francisco, CA",address
956,1853dd07-988e-4272-bb6a-14014ddf1cd0,organizerName,San francisco AI Meetups,string
957,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,startDate,2024-03-24T13:00:00-07:00,date
958,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,endDate,2024-03-24T16:00:00-07:00,date
959,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,name,Career Crafting for Burned & Burnt Out Women in Tech,string
960,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,url,https://www.meetup.com/burned-burnt-out-women-in-tech-sf/events/299738651/,url
961,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,image,https://secure-content.meetupstatic.com/images/classic-events/519705832/676x676.jpg,url-img
962,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,description,"**GET UNSTUCK AND HAVE FUN DOING IT!**

Tired of feeling unfulfilled and overwhelmed?

Feel like there HAS to be more...but what?

It's time to try somethi",string
963,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,locationName,BODY.,string
964,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,locationAddress,"2275 Market St, San Francisco, ca",address
965,f1ca7dc7-5560-4f71-afa9-cdbdc9e2f1df,organizerName,Burned & Burnt Out Women in Tech SF,string
966,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,startDate,2024-03-16T13:00:00-07:00,date
967,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,endDate,2024-03-16T15:00:00-07:00,date
968,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,name,Queerly Quarterly Meet & Greet (Bernal Heights & Adjacent),string
969,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,url,https://www.meetup.com/queerly-quarterly/events/298999698/,url
970,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,image,https://secure-content.meetupstatic.com/images/classic-events/518923242/676x676.jpg,url-img
971,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,description,Welcome to Queerly Quarterly meet and greet! Our meetup focuses on fostering a sense of community among residents and creating connections within the LGBTQ,string
972,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,locationName,San Francisco,string
973,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,locationAddress,"Downtown, San Francisco, CA",address
974,3ae448d2-86b9-4ec9-b3a3-7c1d6ee40a2c,organizerName,Queerly Quarterly,string
975,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,startDate,2024-03-18T15:00:00-07:00,date
976,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,endDate,2024-03-18T17:00:00-07:00,date
977,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,name,Game Developers and Publishers Boba Happy Hour @ GDC!,string
978,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,url,https://www.meetup.com/conduit-turn-gameplay-into-social-posts/events/298761027/,url
979,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,image,https://secure-content.meetupstatic.com/images/classic-events/518685848/676x676.jpg,url-img
980,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,description,"**\*\*RSVP ON EVENTBRITE FOR ENTRY\*\***
https://www.eventbrite.com/e/game-developers-and-publishers-boba-happy-hour-gdc-tickets-807243736747

Looking for ",string
981,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,locationName,Yerba Buena Gardens,string
982,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,locationAddress,"750 Howard St, San Francisco, CA",address
983,16e7c54a-c7a8-4424-b7a4-d94a39dc0c81,organizerName,Conduit - Automatic Social Posts for Indies,string
984,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,startDate,2024-03-16T11:00:00-07:00,date
985,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,endDate,2024-03-16T13:00:00-07:00,date
986,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,name,Mahamudra: Walking for connection 💫,string
987,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,url,https://www.meetup.com/mahamudra-walking-for-connection/events/299576166/,url
988,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,image,h,url-img
989,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,description,"Join us for a transformative journey of self-discovery through Mahamudra walking meditation. We will explore personal development, fitness, and techniques ",string
990,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,locationName,Ritual Coffee Roasters,string
991,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,locationAddress,"432b Octavia St, San Francisco, CA",address
992,d6481e85-47b0-4d91-a74d-98c04d5fb9c1,organizerName,Mahamudra: Walking for connection,string
993,016426a7-7dd0-4011-94ef-5b52d6289e09,startDate,2024-03-27T18:00:00-07:00,date
994,016426a7-7dd0-4011-94ef-5b52d6289e09,endDate,2024-03-27T20:00:00-07:00,date
995,016426a7-7dd0-4011-94ef-5b52d6289e09,name,Talk Series: Event Streaming with Mantis & Scaling Computations with Ray,string
996,016426a7-7dd0-4011-94ef-5b52d6289e09,url,https://www.meetup.com/data-engineer-things-bay-area-meetup/events/299603013/,url
997,016426a7-7dd0-4011-94ef-5b52d6289e09,image,https://secure-content.meetupstatic.com/images/classic-events/519750261/676x676.jpg,url-img
998,016426a7-7dd0-4011-94ef-5b52d6289e09,description,"Whether you're a seasoned data engineer or just starting out, this event will provide valuable insights and practical tips on the work we do. Come network ",string
999,016426a7-7dd0-4011-94ef-5b52d6289e09,locationName,Writing Lab,string
1000,016426a7-7dd0-4011-94ef-5b52d6289e09,locationAddress,"180 Golden Gate Ave,, San Francisco , CA",address
1001,016426a7-7dd0-4011-94ef-5b52d6289e09,organizerName,Data Engineer Things Bay Area Meetup,string
1002,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,startDate,2024-03-19T19:00:00-07:00,date
1003,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,endDate,2024-03-19T23:59:00-07:00,date
1004,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,name,"GDC 2024 After Party Meetup with HashiCorp, Sentry, Unity, Discord & More",string
1005,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,url,https://www.meetup.com/monthly-sf-game-development-community/events/298874115/,url
1006,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,image,https://secure-content.meetupstatic.com/images/classic-events/519278588/676x676.jpg,url-img
1007,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,description,"Welcome back to SF Game Development's third annual GDC 2024 After Party Meetup at DNA Lounge on Tuesday, March 19th from 7:00pm-12:00am. This is the larges",string
1008,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,locationName,DNA Lounge,string
1009,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,locationAddress,"375 11th St, San Francisco, CA",address
1010,f01ab936-5f6a-492a-8ae6-9784e9e26c9e,organizerName,SF Game Development,string
1011,eb1ae58b-91e8-496d-b032-d103d78c0064,startDate,2024-03-28T18:00:00-07:00,date
1012,eb1ae58b-91e8-496d-b032-d103d78c0064,endDate,2024-03-28T20:00:00-07:00,date
1013,eb1ae58b-91e8-496d-b032-d103d78c0064,name,Data and AI Engineering Panel: Airbyte x LangChain x Pinecone,string
1014,eb1ae58b-91e8-496d-b032-d103d78c0064,url,https://www.meetup.com/data-bytes/events/299752878/,url
1015,eb1ae58b-91e8-496d-b032-d103d78c0064,image,https://secure-content.meetupstatic.com/images/classic-events/519718245/676x676.jpg,url-img
1016,eb1ae58b-91e8-496d-b032-d103d78c0064,description,"Join us for some light bites, drinks, and discussion about data engineering for AI. Our meetup will include a panel discussion with experts from the engine",string
1017,eb1ae58b-91e8-496d-b032-d103d78c0064,locationName,100 California St,string
1018,eb1ae58b-91e8-496d-b032-d103d78c0064,locationAddress,"100 California St, San Francisco, CA",address
1019,eb1ae58b-91e8-496d-b032-d103d78c0064,organizerName,Data Bytes,string
1020,dda362cd-862e-469e-a1dc-d40372f5960f,startDate,2024-03-26T19:30:00-07:00,date
1021,dda362cd-862e-469e-a1dc-d40372f5960f,endDate,2024-03-26T22:30:00-07:00,date
1022,dda362cd-862e-469e-a1dc-d40372f5960f,name,Make International friends & Language Exchange !,string
1023,dda362cd-862e-469e-a1dc-d40372f5960f,url,https://www.meetup.com/international-friends-san-francisco/events/299309308/,url
1024,dda362cd-862e-469e-a1dc-d40372f5960f,image,https://secure-content.meetupstatic.com/images/classic-events/519254228/676x676.jpg,url-img
1025,dda362cd-862e-469e-a1dc-d40372f5960f,description,"Make international friends & speak languages (local language included).
The languages spoken may vary based on the participants.
👉🍺🥤 You are asked to or",string
1026,dda362cd-862e-469e-a1dc-d40372f5960f,locationName,Iron Horse Cocktails,string
1027,dda362cd-862e-469e-a1dc-d40372f5960f,locationAddress,"25 Maiden Ln, San Francisco, CA",address
1028,dda362cd-862e-469e-a1dc-d40372f5960f,organizerName,International friends San Francisco,string
1029,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,startDate,2024-03-27T18:00:00-07:00,date
1030,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,endDate,2024-03-27T21:00:00-07:00,date
1031,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,name,Workaholics who Treat Themselves Meetup @ Movida,string
1032,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,url,https://www.meetup.com/workaholics-who-treat-themselves/events/299477384/,url
1033,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,image,https://secure-content.meetupstatic.com/images/classic-events/519425872/676x676.jpg,url-img
1034,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,description,I am excited to share that we will be hosting our first meetup at Movida. Movida is a new restaurant in SF that serves persian and mexican fusion restauran,string
1035,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,locationName,555 2nd St,string
1036,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,locationAddress,"555 2nd St, San Francisco, CA",address
1037,b2faf5cc-c8c4-4a58-a910-958b3a9aa93f,organizerName,Workaholics who treat themselves,string
1038,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,startDate,2024-03-15T19:00:00-07:00,date
1039,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,endDate,2024-03-15T21:00:00-07:00,date
1040,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,name, 1st Surrealism art group meeting,string
1041,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,url,https://www.meetup.com/surrealist-art-painting-group/events/299224488/,url
1042,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,image,https://secure-content.meetupstatic.com/images/classic-events/519151371/676x676.jpg,url-img
1043,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,description,This will be the initial meet up to discuss Future meet-ups and painting plans,string
1044,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,locationName,Flying Pig Bistro Pub,string
1045,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,locationAddress,"433 South Van Ness Avenue, San Francisco, CA",address
1046,a85d7e68-40ef-45c1-ae3c-8ab31ba3cf72,organizerName,Surrealist Art/ painting group,string
1047,37a96765-5e94-4b0a-a5f6-7db611fd2050,startDate,2024-03-15T15:00:00-07:00,date
1048,37a96765-5e94-4b0a-a5f6-7db611fd2050,endDate,2024-03-15T17:00:00-07:00,date
1049,37a96765-5e94-4b0a-a5f6-7db611fd2050,name,SF Techies Network + Happy Hour (St. Patrick's day drinks),string
1050,37a96765-5e94-4b0a-a5f6-7db611fd2050,url,https://www.meetup.com/techies-corner-sf/events/299383203/,url
1051,37a96765-5e94-4b0a-a5f6-7db611fd2050,image,https://secure-content.meetupstatic.com/images/classic-events/519310048/676x676.jpg,url-img
1052,37a96765-5e94-4b0a-a5f6-7db611fd2050,description,"Calling all techies!
If you are a founder, entrepreneur, engineer, designer, or simply a passionate tech enthusiast, this is the perfect opportunity to con",string
1053,37a96765-5e94-4b0a-a5f6-7db611fd2050,locationName,981 Mission St,string
1054,37a96765-5e94-4b0a-a5f6-7db611fd2050,locationAddress,"981 Mission St, San Francisco, CA",address
